id_author_1,id_author_2,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,Label
1827153,1827158,0,0,0,0,0,1
1827169,1835985,0,0,0,0,0,1
1827177,1864927,0,0,0,0,0,1
1827180,1837571,0.72134752,0.133333333,60,0.125,0.5,0
1827180,1841572,0.31465798,0.0625,60,0.041666667,0.5,0
1827180,1842500,0.31465798,0.052631579,96,0.041666667,0.5,0
1827180,1854403,0.31465798,0.043478261,144,0.041666667,0.5,0
1827180,1855347,0.72134752,0.133333333,60,0.125,0.5,0
1827207,1827576,0,0,55,0,0,1
1827207,1829668,0,0,25,0,0,1
1827207,1830166,0.621334935,0.076923077,195,0.08,0.5,0
1827207,1830169,0.621334935,0.090909091,143,0.08,0.5,0
1827207,1831041,0.621334935,0.090909091,143,0.08,0.5,0
1827207,1831081,0.513898342,0.071428571,26,0.142857143,0.5,0
1827207,1832140,0.804859209,0.125,65,0.166666667,0.5,0
1827207,1832153,0.804859209,0.125,65,0.166666667,0.5,0
1827207,1835118,0.621334935,0.090909091,143,0.08,0.5,0
1827207,1835331,0.621334935,0.064516129,260,0.08,0.5,0
1827207,1839266,0.621334935,0.095238095,130,0.08,0.5,0
1827207,1851361,0.621334935,0.08,182,0.08,0.5,0
1827207,1858584,0.621334935,0.111111111,91,0.08,0.5,0
1827207,1859545,0.621334935,0.111111111,91,0.08,0.5,0
1827207,1866183,0.621334935,0.105263158,104,0.08,0.5,0
1827232,1831667,0.779742491,0.166666667,45,0.153846154,0.5,0
1827300,1831161,0.417032391,0.1,28,0.090909091,0.5,0
1827305,1834748,5.768437374,0.866666667,196,1.37012987,1,1
1827305,1841098,4.055996285,0.666666667,154,0.850649351,1,1
1827305,1852506,2.252990798,0.333333333,84,0.547619048,1,1
1827305,1852532,5.768437374,0.866666667,196,1.37012987,1,1
1827314,1833414,0.402429604,0.090909091,32,0.083333333,0.5,0
1827314,1855073,0.402429604,0.090909091,32,0.083333333,0.5,0
1827340,1842539,0.417032391,0.052631579,75,0.090909091,0.5,0
1827340,1843531,0.417032391,0.076923077,45,0.090909091,0.5,0
1827340,1846219,0.417032391,0.05,80,0.090909091,0.5,0
1827340,1851757,0.417032391,0.055555556,70,0.090909091,0.5,0
1827340,1853029,0.417032391,0.1,30,0.090909091,0.5,0
1827370,1851179,0.621334935,1,1,0.2,0.5,0
1827370,1857788,0.621334935,0.333333333,3,0.2,0.5,0
1827382,1833787,0.480898347,0.142857143,16,0.125,0.5,0
1827399,1833802,0.389871245,0.111111111,21,0.076923077,0.5,0
1827399,1833813,0.417032391,0.1,28,0.090909091,0.5,0
1827402,1829014,0.558110627,0.166666667,12,0.166666667,0.5,0
1827455,1829727,0.910239227,0.5,2,0.333333333,0.5,0
1827455,1855819,0.910239227,0.5,2,0.333333333,0.5,0
1827477,1829715,0.480898347,0.05,90,0.125,0.5,0
1827477,1831534,0.378923182,0.041666667,150,0.071428571,0.5,0
1827477,1831854,0.378923182,0.052631579,75,0.071428571,0.5,0
1827477,1851906,0.378923182,0.045454545,120,0.071428571,0.5,0
1827477,1859246,0.480898347,0.058823529,45,0.125,0.5,0
1827477,1866058,0.378923182,0.052631579,75,0.071428571,0.5,0
1827477,1866088,0.378923182,0.052631579,75,0.071428571,0.5,0
1827487,1833802,0.389871245,0.111111111,21,0.076923077,0.5,0
1827487,1833813,0.417032391,0.1,28,0.090909091,0.5,0
1827532,1832074,0.757846363,0.133333333,70,0.142857143,0.5,0
1827532,1840133,0.757846363,0.153846154,56,0.142857143,0.5,0
1827576,1828697,0.333808201,0.038461538,50,0.05,0.5,0
1827576,1830166,3.991731084,0.4,264,0.820887446,1,1
1827576,1830826,0.434294482,0.037037037,75,0.1,0.5,0
1827576,1830851,0.712731382,0.074074074,100,0.121428571,0.5,0
1827576,1831041,2.804545832,0.24,168,0.713095238,1,1
1827576,1832140,0.804859209,0.071428571,125,0.166666667,0.5,0
1827576,1832813,0.389871245,0.034482759,125,0.076923077,0.5,0
1827576,1835331,4.029840294,0.357142857,336,0.840367965,1,1
1827576,1839266,0,0,33,0,0,1
1827576,1842424,10.21621553,0.92,576,2.428005328,1,1
1827576,1850956,0.434294482,0.037037037,75,0.1,0.5,0
1827576,1850983,0.712731382,0.074074074,100,0.121428571,0.5,0
1827576,1872875,0.389871245,0.032258065,175,0.076923077,0.5,0
1827598,1832807,1.340558413,0.266666667,78,0.203815112,0.5,0
1827598,1834012,0.979884653,0.166666667,104,0.141315112,0.5,0
1827598,1836669,0.339623272,0.055555556,78,0.052631579,0.5,0
1827598,1839090,0.339623272,0.058823529,65,0.052631579,0.5,0
1827598,1840579,0.626928529,0.133333333,52,0.082491582,0.5,0
1827598,1843308,0.626928529,0.111111111,91,0.082491582,0.5,0
1827598,1847747,1.340558413,0.2,143,0.203815112,0.5,0
1827598,1848732,0.339623272,0.034482759,221,0.052631579,0.5,0
1827598,1853813,0.979884653,0.15,130,0.141315112,0.5,0
1827598,1860538,1.879320423,0.357142857,78,0.356825479,0.5,0
1827598,1862443,0.339623272,0.047619048,117,0.052631579,0.5,0
1827598,1865363,0.339623272,0.0625,52,0.052631579,0.5,0
1827598,1866836,0.339623272,0.045454545,130,0.052631579,0.5,0
1827598,1868655,0.303413076,0.066666667,39,0.037037037,0.5,0
1827649,1830831,0.757846363,0.153846154,54,0.142857143,0.5,0
1827649,1830852,0.757846363,0.086956522,144,0.142857143,0.5,0
1827649,1831157,0.339623272,0.052631579,99,0.052631579,0.5,0
1827649,1832247,0.757846363,0.153846154,54,0.142857143,0.5,0
1827649,1833596,0.339623272,0.04,153,0.052631579,0.5,0
1827649,1833671,0.756655663,0.2,27,0.14354067,0.5,0
1827649,1834648,0.339623272,0.083333333,36,0.052631579,0.5,0
1827649,1836949,0.757846363,0.111111111,99,0.142857143,0.5,0
1827649,1840704,0.339623272,0.083333333,36,0.052631579,0.5,0
1827649,1854426,0.756655663,0.2,27,0.14354067,0.5,0
1827678,1850556,0.961796694,0.285714286,20,0.25,0.5,0
1827687,1830164,0.36067376,0.083333333,40,0.0625,0.5,0
1827687,1831210,1.194738543,0.230769231,64,0.244318182,0.5,0
1827688,1829340,0.480898347,0.142857143,15,0.125,0.5,0
1827688,1830164,0.36067376,0.111111111,25,0.0625,0.5,0
1827688,1831210,1.194738543,0.3,40,0.244318182,0.5,0
1827706,1863747,0,0,1,0,1,1
1827725,1831157,0.787250606,0.181818182,22,0.158823529,0.5,0
1827725,1834865,0.352956124,0.05,38,0.058823529,0.5,0
1827725,1840540,0.352956124,0.142857143,12,0.058823529,0.5,0
1827725,1848732,0.787250606,0.117647059,34,0.158823529,0.5,0
1827725,1849944,0.352956124,0.1,18,0.058823529,0.5,0
1827725,1849948,0.787250606,0.222222222,18,0.158823529,0.5,0
1827725,1853313,0.352956124,0.333333333,4,0.058823529,0.5,0
1827725,1859472,0.787250606,0.5,8,0.158823529,0.5,0
1827725,1859490,0.787250606,0.5,8,0.158823529,0.5,0
1827725,1859576,0.787250606,0.5,8,0.158823529,0.5,0
1827725,1861591,0.352956124,0.2,8,0.058823529,0.5,0
1827725,1863860,0.787250606,0.25,16,0.158823529,0.5,0
1827738,1838003,0.333808201,0.052631579,91,0.05,0.5,0
1827794,1835867,0.779742491,0.142857143,60,0.153846154,0.5,0
1827794,1852774,0.779742491,0.166666667,48,0.153846154,0.5,0
1827798,1828851,0.6397249,0.060606061,234,0.088345865,0.5,0
1827798,1829186,0.36067376,0.028571429,260,0.0625,0.5,0
1827798,1829967,0,0,12,0,0,1
1827798,1831681,0.300101629,0.032258065,156,0.035714286,0.5,0
1827798,1834434,3.986549871,0.714285714,143,0.819904306,1,1
1827798,1839330,0.36067376,0.035714286,78,0.0625,0.5,0
1827798,1848676,0.36067376,0.038461538,26,0.0625,0.5,0
1827798,1853748,0.300101629,0.027027027,312,0.035714286,0.5,0
1827798,1869841,0.300101629,0.035714286,78,0.035714286,0.5,0
1827875,1844225,0.378923182,0.076923077,33,0.071428571,0.5,0
1827888,1858255,0.558110627,0.1,24,0.166666667,0.5,0
1827888,1859246,0.558110627,0.2,9,0.166666667,0.5,0
1827888,1859353,0.480898347,0.083333333,30,0.125,0.5,0
1827888,1860365,0.480898347,0.142857143,15,0.125,0.5,0
1827988,1833227,0.352956124,0.052631579,84,0.058823529,0.5,0
1827988,1835049,0.402429604,0.090909091,36,0.083333333,0.5,0
1827988,1836701,0.352956124,0.05,90,0.058823529,0.5,0
1827988,1840745,0.352956124,0.083333333,42,0.058823529,0.5,0
1827988,1843263,0.402429604,0.090909091,36,0.083333333,0.5,0
1827988,1857138,0.402429604,0.090909091,36,0.083333333,0.5,0
1827988,1859044,0.352956124,0.0625,66,0.058823529,0.5,0
1827988,1871581,0.352956124,0.1,30,0.058823529,0.5,0
1828016,1853006,0.402429604,0.090909091,36,0.083333333,0.5,0
1828021,1831186,0.389871245,0.052631579,64,0.076923077,0.5,0
1828021,1833269,0.389871245,0.083333333,36,0.076923077,0.5,0
1828021,1851757,0.389871245,0.058823529,56,0.076923077,0.5,0
1828035,1829256,0.480898347,0.142857143,12,0.125,0.5,0
1828043,1836322,0.455119613,0.166666667,10,0.111111111,0.5,0
1828094,1853336,0.455119613,0.090909091,36,0.111111111,0.5,0
1828094,1860522,0.455119613,0.125,18,0.111111111,0.5,0
1828096,1841059,0.558110627,0.2,8,0.166666667,0.5,0
1828096,1841077,0.558110627,0.166666667,10,0.166666667,0.5,0
1828112,1829686,2.485339738,0.666666667,25,0.8,1,1
1828112,1833130,2.485339738,0.666666667,25,0.8,1,1
1828135,1866527,0.910239227,0.25,4,0.333333333,0.5,0
1828137,1857704,0.378923182,0.076923077,48,0.071428571,0.5,0
1828143,1832100,0.480898347,0.090909091,35,0.125,0.5,0
1828143,1853973,1.956593383,0.6,16,0.642857143,1,1
1828143,1871793,2.164042561,0.375,28,0.75,1,1
1828154,1832191,0.378923182,0.125,8,0.071428571,0.5,0
1828154,1832214,0.378923182,0.166666667,6,0.071428571,0.5,0
1828154,1832436,0.378923182,0.2,5,0.071428571,0.5,0
1828154,1836697,0.378923182,0.25,4,0.071428571,0.5,0
1828154,1848575,0.378923182,0.25,4,0.071428571,0.5,0
1828154,1849700,0.378923182,0.2,5,0.071428571,0.5,0
1828154,1853144,0.378923182,0.125,8,0.071428571,0.5,0
1828154,1854204,0.378923182,0.166666667,6,0.071428571,0.5,0
1828154,1854474,0.378923182,0.166666667,6,0.071428571,0.5,0
1828206,1832733,0.323515453,0.111111111,21,0.045454545,0.5,0
1828206,1833124,0.323515453,0.055555556,84,0.045454545,0.5,0
1828206,1873512,0.323515453,0.03125,182,0.045454545,0.5,0
1828242,1831186,0.36067376,0.058823529,32,0.0625,0.5,0
1828242,1831407,0.36067376,0.083333333,22,0.0625,0.5,0
1828242,1833269,0.36067376,0.1,18,0.0625,0.5,0
1828242,1842539,0.36067376,0.0625,30,0.0625,0.5,0
1828242,1843531,0.36067376,0.1,18,0.0625,0.5,0
1828242,1850020,0.36067376,0.071428571,26,0.0625,0.5,0
1828242,1851757,0.36067376,0.066666667,28,0.0625,0.5,0
1828242,1853029,0.36067376,0.142857143,12,0.0625,0.5,0
1828245,1830831,0.777706152,0.2,36,0.153409091,0.5,0
1828245,1832247,0.777706152,0.2,36,0.153409091,0.5,0
